Length of roadway (m),Dripper flow rate,age of bolts at survey,Stress Factor,water type 1,water type2,water type 3,D hdg,D-E cts,E hdg,E-F cts,F hdg,Target
5,0,11,0.35,0,1,0,0,0,1,0,0,0
5,12.3,10,0.25,0,1,0,0,0,0,0,1,0
35,0,8,0.4,0,1,0,0,1,0,0,0,1
5,0,7,0.25,0,1,0,0,0,1,0,0,0
30,0,9,0.4,0,1,0,0,0,0,1,0,1
58,0,9,0.2,0,1,0,0,0,1,0,0,1
65,0,11,0.3,0,1,0,0,0,1,0,0,1
5,0,7,0.5,0,1,0,0,0,1,0,0,0
18,0,10,0.45,0,1,0,1,0,0,0,0,0
25,0,11,0.3,1,0,0,0,0,1,0,0,1
35,0,11,0.45,1,0,0,0,0,1,0,0,1
65,12.3,2,0.05,0,0,1,0,0,0,0,1,0
5,0,9,0.25,0,1,0,0,0,1,0,0,0
26,51,7,0.45,0,1,0,0,0,0,0,1,1
35,0,8,0.3,0,1,0,0,0,1,0,0,1
10,0,11,0.55,1,0,0,0,0,1,0,0,0
10,0,10,0.05,0,1,0,0,0,1,0,0,0
8,0,12,0.15,1,0,0,0,0,1,0,0,0
27,261,8,0.2,0,1,0,0,0,0,0,1,1
18,49.2,10,0.05,0,1,0,0,0,0,0,1,1
15,0,9,0.4,0,1,0,0,0,0,1,0,1
5,0,13,0.5,1,0,0,0,0,1,0,0,0
35,0,12,0.25,1,0,0,0,1,0,0,0,1
5,34.02,11,0.1,0,1,0,0,0,0,0,1,0
5,8.82,12,0.35,1,0,0,0,0,0,0,1,0
80,49.2,11,0.3,0,1,0,0,0,0,0,1,1
10,0,13,0.45,1,0,0,0,0,1,0,0,1
15,1.98,12,0.3,1,0,0,0,0,0,0,1,0
55,0,10,0.05,0,1,0,1,0,0,0,0,0
35,0,4,0.05,0,1,0,0,0,0,0,1,0
30,0,10,0.5,0,1,0,0,0,0,1,0,1
10,0,11,0.5,1,0,0,0,1,0,0,0,1
26,149.1,8,0.45,0,1,0,0,0,0,0,1,0
5,0,12,0.1,1,0,0,0,0,1,0,0,1
34,0,12,0.65,1,0,0,0,1,0,0,0,1
30,0,11,0.05,0,1,0,0,0,1,0,0,1
35,0,10,0.05,0,1,0,0,0,1,0,0,0
30,0,9,0.4,0,1,0,0,0,0,1,0,1
25,0,7,0.45,0,1,0,0,0,1,0,0,0
37,0,10,0.45,0,1,0,0,0,1,0,0,0
10,0,8,0.2,0,1,0,0,0,1,0,0,0
5,0,7,0.6,0,1,0,1,0,0,0,0,0
15,0,11,0.5,1,0,0,0,0,0,1,0,1
5,0,11,0.35,1,0,0,1,0,0,0,0,0
20,0,7,0.65,0,1,0,0,1,0,0,0,1
5,0,11,0.7,0,1,0,1,0,0,0,0,0
22,85.8,10,0.2,0,1,0,0,0,0,0,1,1
8,0,2,0.7,0,0,1,1,0,0,0,0,0
23,0,13,0.65,1,0,0,0,0,0,1,0,1
5,0,11,0.5,1,0,0,0,0,1,0,0,1
55,173.1,7,0.2,0,1,0,0,0,0,0,1,0
41,0,13,0.173913043,1,0,0,1,0,0,0,0,0
48,0,11,0.45,1,0,0,1,0,0,0,0,0
10,0,13,0.75,1,0,0,0,1,0,0,0,1
31,0,11,0.3,1,0,0,1,0,0,0,0,0
42,19.5,3,0.05,0,0,1,0,0,0,0,1,0
20,0,11,0.5,1,0,0,0,1,0,0,0,1
10,39.3,7,0.45,0,1,0,0,0,0,0,1,1
25,0,11,0.5,1,0,0,0,1,0,0,0,0
10,0,11,0.9,1,0,0,0,1,0,0,0,1
15,0,12,0.3,1,0,0,1,0,0,0,0,0
5,0,9,0.5,0,1,0,1,0,0,0,0,0
8,0,11,0.5,1,0,0,0,0,0,1,0,1
35,0,8,0.4,0,1,0,0,1,0,0,0,1
62,63,8,0.2,0,1,0,0,0,0,0,1,1
5,0,7,0.5,0,1,0,0,0,1,0,0,0
10,0,7,0.4,0,1,0,0,0,0,1,0,1
33,0,9,0.4,0,1,0,0,1,0,0,0,1
5,11.4,8,0.25,0,1,0,0,0,0,0,1,0
35,0,13,0.65,1,0,0,0,0,0,1,0,1
5,0,11,0.35,1,0,0,0,0,1,0,0,1
11,40.5,11,0.3,0,1,0,0,0,0,0,1,0
47,18.9,7,0.2,0,1,0,0,0,0,0,1,1
38,0,8,0.4,0,1,0,0,0,0,1,0,1
35,0,10,0.5,0,1,0,0,1,0,0,0,0
5,0,12,0.35,1,0,0,0,0,1,0,0,0
20,0,12,0.45,1,0,0,0,0,1,0,0,0
8,0,11,0.3,1,0,0,0,0,1,0,0,1
38,0,11,0.3,0,1,0,0,0,1,0,0,1
32,0,9,0.2,0,1,0,1,0,0,0,0,0
50,49.02,10,0.3,0,1,0,0,0,0,0,1,1
5,0,10,0.25,0,1,0,0,0,1,0,0,0
30,0,13,0.2,1,0,0,0,0,1,0,0,0
38,0,10,0.4,0,1,0,0,0,0,1,0,1
17,0,7,0.2,0,1,0,0,0,1,0,0,0
16,0,11,0.55,0,1,0,1,0,0,0,0,0
36,0,2,0.45,0,0,1,0,0,1,0,0,0
37,71.4,8,0.2,0,1,0,0,0,0,0,1,1
5,0,10,0.25,0,1,0,1,0,0,0,0,0
94,0,9,0.2,0,1,0,0,0,1,0,0,0
35,0,12,0.5,1,0,0,0,0,0,1,0,1
45,0,7,0.2,0,1,0,0,0,1,0,0,1
52,43.5,11,0.05,0,1,0,0,0,0,0,1,1
5,0,8,0.25,0,1,0,1,0,0,0,0,0
5,0,10,0.45,0,1,0,1,0,0,0,0,1
11,0,12,0.3,1,0,0,0,0,1,0,0,1
5,0,7,0.25,0,1,0,0,0,1,0,0,0
80,3.12,12,0.3,1,0,0,0,0,0,0,1,1
59,149.1,8,0.45,0,1,0,0,0,0,0,1,1
33,0,10,0.65,0,1,0,0,1,0,0,0,0
5,0,2,0.75,0,0,1,0,0,1,0,0,0
35,0,8,0.4,0,1,0,0,0,0,1,0,1
36,0,10,0.5,0,1,0,0,1,0,0,0,1
89,32.4,7,0.45,0,1,0,0,0,0,0,1,0
5,0,11,0.35,1,0,0,1,0,0,0,0,0
15,0,11,0.45,1,0,0,1,0,0,0,0,0
15,0,12,0.05,1,0,0,1,0,0,0,0,0
35,0,10,0.65,0,1,0,0,0,0,1,0,1
65,5.88,13,0.3,1,0,0,0,0,0,0,1,1
95,0,12,0.45,1,0,0,1,0,0,0,0,0
35,0,7,0.65,0,1,0,0,0,0,1,0,1
78,0,10,0.2,0,1,0,1,0,0,0,0,0
55,19.5,2,0.3,0,0,1,0,0,0,0,1,0
18,0,7,0.75,0,1,0,0,1,0,0,0,1
80,15.3,2,0.3,0,0,1,0,0,0,0,1,0
24,81.3,7,0.2,0,1,0,0,0,0,0,1,1
10,0,13,0.65,1,0,0,0,1,0,0,0,1
91,30.3,9,0.2,0,1,0,0,0,0,0,1,1
40,0,8,0.2,0,1,0,0,0,1,0,0,1
35,0,13,0.4,1,0,0,0,1,0,0,0,1
35,0,7,0.4,0,1,0,0,1,0,0,0,1
5,0,10,0.5,0,1,0,0,0,0,1,0,0
10,0,7,0.2,0,1,0,0,0,1,0,0,0
55,0,9,0.2,0,1,0,1,0,0,0,0,0
25,18.3,10,0.3,0,1,0,0,0,0,0,1,1
5,0,10,0.5,0,1,0,1,0,0,0,0,0
5,0,7,0.25,0,1,0,1,0,0,0,0,0
39,0,7,0.4,0,1,0,0,1,0,0,0,1
22,0,2,0.45,0,0,1,1,0,0,0,0,0
15,0,7,0.45,0,1,0,0,0,1,0,0,0
29,110.7,9,0.2,0,1,0,0,0,0,0,1,1
75,0,12,0.3,1,0,0,0,0,1,0,0,0
10,0,8,0.4,0,1,0,0,0,0,1,0,1
38,0,10,0.5,0,1,0,0,1,0,0,0,1
15,0,13,0.4,1,0,0,0,1,0,0,0,1
31,18.9,7,0.45,0,1,0,0,0,0,0,1,1
35,0,8,0.4,0,1,0,0,1,0,0,0,1
35,0,7,0.45,0,1,0,0,0,1,0,0,1
23,0,12,0.3,1,0,0,0,0,1,0,0,0
5,0,9,0.25,0,1,0,0,0,1,0,0,0
17,173.1,7,0.45,0,1,0,0,0,0,0,1,0
15,0,9,0.4,0,1,0,0,0,0,1,0,1
52,0,10,0.3,0,1,0,0,0,1,0,0,0
5,0,7,0.2,0,1,0,0,0,1,0,0,0
60,0,11,0.05,0,1,0,0,0,1,0,0,1
95,0,11,0.3,1,0,0,0,0,1,0,0,1
8,0,9,0.55,0,1,0,1,0,0,0,0,0
8,0,2,0.45,0,0,1,0,0,1,0,0,0
15,0,7,0.65,0,1,0,0,0,0,1,0,1
86,0,3,0.2,0,0,1,1,0,0,0,0,0
25,0,8,0.4,0,1,0,0,0,0,1,0,1
5,0,10,0.25,0,1,0,0,0,1,0,0,0
36,0,10,0.5,0,1,0,0,1,0,0,0,0
28,0,13,0.2,1,0,0,0,0,1,0,0,1
5,0,13,0.25,1,0,0,0,0,1,0,0,1
15,0,7,0.65,0,1,0,0,0,0,1,0,1
5,0,2,0.5,0,0,1,0,0,1,0,0,0
5,4.86,12,0.1,1,0,0,0,0,0,0,1,1
5,0,11,0.85,1,0,0,1,0,0,0,0,0
15,0,9,0.45,0,1,0,1,0,0,0,0,0
